"tinyId","nome","categoriaTiny","departamentoProposto","categoriaProposta","confianca","decisao","motivo"
"738050939","ASPIRADOR PÓ COLETOR DE UNHAS PROFISSIONAL NAIL DUST","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738050963","Base De Esmalte Em Gel - Linha Light 8ml - Real Love","NAIL DESIGNER >> Real Love","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051026","Base Estrutural Natural Pink 11ml - Bluwe","NAIL DESIGNER >> BLUWE","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051031","Bico para cola de extensão de cílios 10 unidades","Acesssórios e descartáveis","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"801510681","boneca treino","(SEM CATEGORIA)","Revisar","Revisar","BAIXA","REVISAR_MANUALMENTE","Sem sinal suficiente para classificar automaticamente sem risco."
"738051042","Broca bastao fina Tungstenio","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051055","Broca ceramica ponta fina - Real Love","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051070","Broca de Diamante Ultradiamond American Burrs Nails – Nº PM720-N","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051080","BROCA TUGSTENIO PONTA DUPLA","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"806075108","Bruma Cherry - para extensão de cílios","Lash Designer >> Cherry","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"804885674","Bruma Cherry Lash","Lash Designer >> Cherry","Lash Designer","Acessórios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051110","Bruma navina","Removedores","Lash Designer","Removedores","MEDIA","AUTO_APROVADO","Nome indica removedor."
"738051149","Cabine Led/UV SUN 5 - 48w BRANCA","NAIL DESIGNER >> Cabines","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051186","Cabine Led/UV SUN 5 - 48w ROSA","NAIL DESIGNER >> Cabines","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051208","Caneta em Gel branca","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Acessórios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051217","Caneta marcação duas pontas fina/grossa","Lash Designer >> Acesssórios e descartáveis","Lash Designer","Acessórios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051252","Caneta Óleo Hidratante de Cutículas Unhas ZEM","NAIL DESIGNER","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051299","Capa Base Flex Natural Pink 11ml - Bluwe","NAIL DESIGNER >> BLUWE","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051323","Capa Base Flex Super Clear 11ml - Bluwe","NAIL DESIGNER >> BLUWE","Nail Designer","Nail Designer","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Nail Designer."
"738051343","Cera Brow Frozen Fixadora de Sobrancelhas 15g","Sobrancelha >> Menela","Sobrancelhas","Sobrancelhas","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Sobrancelha."
"806077341","Cherry Lash Aqua Primer","(SEM CATEGORIA)","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"803643763","Cilios  5D  curvatura C  -  Fadvan MIX","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051559","Cilios  5D  curvatura M -  Fadvan","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"805217395","Cilios  5D  curvatura M -  Fadvan - 10mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"805217398","Cilios  5D  curvatura M -  Fadvan - 11mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"805217402","Cilios  5D  curvatura M -  Fadvan - 12mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"805217392","Cilios  5D  curvatura M -  Fadvan - 8mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"810419345","Cilios  5D  curvatura M -  Fadvan - Mix 8-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"810419348","Cilios  5D  curvatura M -  Fadvan - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"761124487","Cílios  U  Y Fadvan  curvatura D","(SEM CATEGORIA)","Lash Designer","Cílios","MEDIA","AUTO_APROVADO","Nome contém sinais fortes de produto para extensão de cílios."
"738051635","Cílios  Y  Marrom  Fadvan  - volume brasileiro","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"804848609","Cílios  Y  Marrom  Fadvan  - volume brasileiro - 10mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"804848612","Cílios  Y  Marrom  Fadvan  - volume brasileiro - 11mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"804848615","Cílios  Y  Marrom  Fadvan  - volume brasileiro - 12mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"804848606","Cílios  Y  Marrom  Fadvan  - volume brasileiro - 9mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803625147","Cílios  Y  Marrom  Fadvan  - volume brasileiro - Mix 8-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803625150","Cílios  Y  Marrom  Fadvan  - volume brasileiro - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051384","Cílios 3D decemars","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044830","Cílios 3D fadvan - 3D W - 10mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044834","Cílios 3D fadvan - 3D W - 11mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044838","Cílios 3D fadvan - 3D W - 12mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044842","Cílios 3D fadvan - 3D W - 13mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044846","Cílios 3D fadvan - 3D W - 14mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044822","Cílios 3D fadvan - 3D W - 8mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044826","Cílios 3D fadvan - 3D W - 9mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044850","Cílios 3D fadvan - 3D W - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044707","Cílios 4D  Decemars- 4D w","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044780","Cílios 4D  Decemars- 4D w - 10mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044776","Cílios 4D  Decemars- 4D w - 11mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044772","Cílios 4D  Decemars- 4D w - 12mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044768","Cílios 4D  Decemars- 4D w - 13mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044764","Cílios 4D  Decemars- 4D w - 14mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044760","Cílios 4D  Decemars- 4D w - 15mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044788","Cílios 4D  Decemars- 4D w - 8mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044784","Cílios 4D  Decemars- 4D w - 9mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044792","Cílios 4D  Decemars- 4D w - Mix 8-14","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051438","Cílios 4D  Marrom - Decemars","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051426","Cílios 4D curvatura M - Fadvan","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076360","Cílios 4D curvatura M - Fadvan - Mix 7-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076352","Cílios 4D curvatura M - Fadvan - Mix 8-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076356","Cílios 4D curvatura M - Fadvan - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051758","Cilios 4D curvatura M - Maria sasha","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803627538","Cilios 4D Curvatura M - Maria Sasha  - 11mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803627541","Cilios 4D Curvatura M - Maria Sasha  - 12mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803627544","Cilios 4D Curvatura M - Maria Sasha  - 13mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803627547","Cilios 4D Curvatura M - Maria Sasha  - 7mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803627550","Cilios 4D Curvatura M - Maria Sasha  - Mix 7-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741047544","Cilios 4D curvatura M - Maria sasha - 10mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076192","Cilios 4D curvatura M - Maria sasha - 11mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076197","Cilios 4D curvatura M - Maria sasha - 12mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076203","Cilios 4D curvatura M - Maria sasha - 7mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741047534","Cilios 4D curvatura M - Maria sasha - 8mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741047539","Cilios 4D curvatura M - Maria sasha - 9mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076185","Cilios 4D curvatura M - Maria sasha - Mix 7-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051803","Cilios 4D curvatura M - Maria sasha - Mix 8-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741047552","Cilios 4D curvatura M - Maria sasha - Mix 8-14","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806076384","Cílios 4D W Marrom - Decemars","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044577","Cílios 5d  Decemars - 5D w","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044601","Cílios 5d  Decemars - 5D w - 10mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044605","Cílios 5d  Decemars - 5D w - 11mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044611","Cílios 5d  Decemars - 5D w - 12mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044615","Cílios 5d  Decemars - 5D w - 13mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044619","Cílios 5d  Decemars - 5D w - 14mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044593","Cílios 5d  Decemars - 5D w - 8mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044597","Cílios 5d  Decemars - 5D w - 9mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044627","Cílios 5d  Decemars - 5D w - Mix 8-12","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044623","Cílios 5d  Decemars - 5D w - Mix 8-14","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411795","Cílios 5D  Fadvan curvatura D - 5Dw ","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411816","Cílios 5D  Fadvan curvatura D - 5Dw  - 10mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411819","Cílios 5D  Fadvan curvatura D - 5Dw  - 11mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411822","Cílios 5D  Fadvan curvatura D - 5Dw  - 12mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411825","Cílios 5D  Fadvan curvatura D - 5Dw  - 13mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411831","Cílios 5D  Fadvan curvatura D - 5Dw  - 14mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411806","Cílios 5D  Fadvan curvatura D - 5Dw  - 8mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411812","Cílios 5D  Fadvan curvatura D - 5Dw  - 9mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411834","Cílios 5D  Fadvan curvatura D - 5Dw  - Mix 8-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"766411837","Cílios 5D  Fadvan curvatura D - 5Dw  - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051811","Cílios 5D curvatura M - Maria Sasha","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628712","Cílios 5D curvatura M - Maria Sasha - 10mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628715","Cílios 5D curvatura M - Maria Sasha - 11mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628719","Cílios 5D curvatura M - Maria Sasha - 12mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628722","Cílios 5D curvatura M - Maria Sasha - 13mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628700","Cílios 5D curvatura M - Maria Sasha - 6mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628703","Cílios 5D curvatura M - Maria Sasha - 7mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628706","Cílios 5D curvatura M - Maria Sasha - 8mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628709","Cílios 5D curvatura M - Maria Sasha - 9mm","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628726","Cílios 5D curvatura M - Maria Sasha - Mix 7-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628731","Cílios 5D curvatura M - Maria Sasha - Mix 8-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803628735","Cílios 5D curvatura M - Maria Sasha - Mix 8-14","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806077272","Cílios 5D curvatura M - Marrom - Maria Sasha","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"806077280","Cílios 5D curvatura M - Marrom - Maria Sasha - Mix 7-12","Lash Designer >> Maria Sasha","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051571","Cílios 6D  Fadvan - 3D duplo","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608828","Cílios 6D  Fadvan - 3D duplo - 10","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608831","Cílios 6D  Fadvan - 3D duplo - 11","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608834","Cílios 6D  Fadvan - 3D duplo - 12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608837","Cílios 6D  Fadvan - 3D duplo - 13","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608840","Cílios 6D  Fadvan - 3D duplo - 14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608822","Cílios 6D  Fadvan - 3D duplo - 8mm","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608825","Cílios 6D  Fadvan - 3D duplo - 9","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608843","Cílios 6D  Fadvan - 3D duplo - Mix 8-12","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"803608846","Cílios 6D  Fadvan - 3D duplo - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741048739","Cílios 6D - W Real - Fio aberto","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051453","Cílios 6D - W Real - Fio aberto - Mix 8-14","Lash Designer >> Fadvan","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"741044506","Cílios 6D decemars","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
"738051457","Cílios 6D decemars - 10mm","Lash Designer >> Decemars","Lash Designer","Cílios","ALTA","AUTO_APROVADO","Categoria Tiny já pertence à árvore Lash Designer."
